Host Id;Host Since;mes;aniomes;anio;Name;Neighbourhood;Property Type;Review Scores Rating (bin);Room Type;Zipcode;Beds;Number of Records;Number Of Reviews;Price;Review Scores Rating;AA;AB;AC;AD;AE;AF;AG;cant
11003305;03/01/2014;1;201401;2014;Vacation Space off Eastern Parkway;Brooklyn;Bed & Breakfast;;Private room;11216;1;1;0;75;;;;;;;;;1
10996781;03/01/2014;1;201401;2014;Quiet; Clean Haven on Tranquil UWS!;Manhattan;Apartment;85;Private room;10023;1;1;11;105;88;;;;;;;1
10988400;03/01/2014;1;201401;2014;Cozy Room 16min from Times Square;Manhattan;Apartment;90;Private room;10039;1;1;86;60;93;;;;;;;;1
10988400;03/01/2014;1;201401;2014;Large Room 16min from Times Square;Manhattan;Apartment;90;Private room;10039;1;1;62;65;94;;;;;;;;1
10995060;03/01/2014;1;201401;2014;Cozy Sofabed 1 Minute From Subway;Brooklyn;Apartment;100;Shared room;11225;1;1;3;75;100;;;;;;;;1
11012377;04/01/2014;1;201401;2014;Great 1bdrm in Cobble Hill;Brooklyn;Apartment;;Entire home/apt;11201;1;1;0;200;;;;;;;;;1
11010680;04/01/2014;1;201401;2014;Space Just For Guests; Park Slope;Brooklyn;Apartment;85;Entire home/apt;11217;1;1;45;89;87;;;;;;;1
11015793;04/01/2014;1;201401;2014;SuperBowl rental-1 block from penn;Manhattan;Apartment;;Entire home/apt;10001;1;1;0;3.000;;;;;;;;;1
11021180;04/01/2014;1;201401;2014;Studio Apartment East Village;Manhattan;Apartment;95;Entire home/apt;10003;2;1;56;185;97;;;;;;;;1
11012889;04/01/2014;1;201401;2014;Luxury NYC Studio for Super Bowl 48;Manhattan;Apartment;;Entire home/apt;10005;2;1;0;575;;;;;;;;;1
11026037;04/01/2014;1;201401;2014;Beautiful 2br/2bath 1300 sq ft apt;Manhattan;Apartment;;Entire home/apt;10022;2;1;0;4.500;;;;;;;;;1
11013095;04/01/2014;1;201401;2014;Elegant studio in the UES;Manhattan;Apartment;;Entire home/apt;10075;1;1;0;180;;;;;;;;;1
11024818;04/01/2014;1;201401;2014;Private Room. Quiet. Comfortable.;Brooklyn;Apartment;;Private room;11211;1;1;0;90;;;;;;;;;1
11022524;04/01/2014;1;201401;2014;Cozy; Charming Room;Brooklyn;Apartment;;Private room;11221;1;1;0;60;;;;;;;;1
11011376;04/01/2014;1;201401;2014;bright; sunny room in new building;Brooklyn;Apartment;90;Private room;11231;1;1;36;75;90;;;;;;;1
11019603;04/01/2014;1;201401;2014;Funky & Spacious Warehouse Loft;Brooklyn;Apartment;80;Private room;11237;1;1;5;55;80;;;;;;;;1
11010205;04/01/2014;1;201401;2014;Large sunny room close to N&D train;Brooklyn;House;;Private room;11204;1;1;0;89;;;;;;;;;1
11023605;04/01/2014;1;201401;2014;Private Room - Perfect Location LES;Manhattan;Apartment;80;Private room;10002;1;1;1;100;80;;;;;;;;1
11004770;04/01/2014;1;201401;2014;Charming Private Bedroom;Queens;Apartment;80;Private room;11106;;1;1;79;80;;;;;;;;1
11004770;04/01/2014;1;201401;2014;Charming shared apartment;Queens;Apartment;100;Shared room;11106;1;1;2;79;100;;;;;;;;1
11050335;05/01/2014;1;201401;2014;2-Story Williamsburg Apt w/Backyard;Brooklyn;Apartment;100;Entire home/apt;11211;2;1;2;285;100;;;;;;;;1
