Host Id,Host Since,mes,anio,Name,Neighbourhood,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating,AA,AB,AC,AD,AE,AF,AG,cant
5940,02/01/2009,1,2009,Comfy 2BR Apt 20 mins to Midtown,Queens,Apartment,85,Entire home/apt,11368,2,1,47,135,86,,,,,,,,1
5926,02/01/2009,1,2009,Beautiful Room 1 with Park Views,Manhattan,Apartment,85,Private room,10027,1,1,9,85,87,,,,,,,,1
5926,02/01/2009,1,2009,Beautiful Room 2 with Park Views,Manhattan,Apartment,90,Private room,10027,1,1,13,85,91,,,,,,,,1
5926,02/01/2009,1,2009,Beautiful Room 3 with Park Views,Manhattan,Apartment,90,Private room,10027,1,1,14,85,92,,,,,,,,1
5926,02/01/2009,1,2009,Nice Apt Near Columbia University 2,Manhattan,Apartment,80,Private room,10031,1,1,35,60,81,,,,,,,,1
5926,02/01/2009,1,2009,Nice Apt Near Columbia University 3,Manhattan,Apartment,80,Private room,10031,2,1,34,70,82,,,,,,,,1
5926,02/01/2009,1,2009,Nice  Apt Near Columbia University,Manhattan,Bed & Breakfast,85,Private room,10031,1,1,68,55,86,,,,,,,,1
6041,05/01/2009,1,2009,Beautiful Apt. In Astoria,Queens,Apartment,100,Private room,11105,1,1,4,44,100,,,,,,,,1
7118,26/01/2009,1,2009,PERFECT location! Contact me NOW!,Manhattan,Apartment,85,Entire home/apt,10036,1,1,14,200,87,,,,,,,,1
7222,29/01/2009,1,2009,SPACIOUS ARTY 1BR NOHO / E. VILLAGE,Manhattan,Apartment,95,Entire home/apt,10003,2,1,42,175,95,,,,,,,,1
7209,29/01/2009,1,2009,Next to Empire State building,Manhattan,Apartment,100,Entire home/apt,10016,1,1,9,250,100,,,,,,,,1
7230,30/01/2009,1,2009,Luxury Building, big 1BR - 90th,Manhattan,Apartment,95,Entire home/apt,10128,2,1,7,165,96,,,,,,,1
7323,02/02/2009,2,2009,CHEZ LEO Clinton Hill Ft. Greene,Brooklyn,Apartment,85,Entire home/apt,11238,1,1,13,115,88,,,,,,,,1
7299,02/02/2009,2,2009,Downtown calm, convenience & space,Manhattan,Apartment,95,Entire home/apt,10005,1,1,16,145,95,,,,,,,1
7322,02/02/2009,2,2009,Large & Cozy Midtown East 1 BR Apt,Manhattan,Apartment,85,Entire home/apt,10016,1,1,47,200,86,,,,,,,,1
7351,02/02/2009,2,2009,2 Floor Loft room in Artist Studio,Brooklyn,Loft,80,Private room,11215,2,1,3,74,80,,,,,,,,1
7351,02/02/2009,2,2009,Spacious Loft Room in Artist Studio,Brooklyn,Loft,,Private room,11215,2,1,0,74,,,,,,,,,1
7351,02/02/2009,2,2009,Spacious room in Huge artist Loft,Brooklyn,Loft,100,Private room,11215,1,1,2,84,100,,,,,,,,1
7338,02/02/2009,2,2009,East Vil  1br in 2br apt + balcony,Manhattan,Apartment,100,Private room,10009,,1,3,125,100,,,,,,,,1
7386,03/02/2009,2,2009,Quiet Slice of Manhattan,Manhattan,Apartment,90,Entire home/apt,10016,1,1,42,129,92,,,,,,,,1
7356,03/02/2009,2,2009,BlissArtsSpace!,Brooklyn,Apartment,90,Private room,11216,1,1,41,50,90,,,,,,,,1
7356,03/02/2009,2,2009,Private Bliss Art Space 2,Brooklyn,Apartment,90,Private room,11216,1,1,52,50,93,,,,,,,,1
7414,04/02/2009,2,2009,Historic Fort Greene - Red Rooster,Brooklyn,Apartment,80,Entire home/apt,11217,3,1,15,185,82,,,,,,,,1
7414,04/02/2009,2,2009,Historic Fort Greene-Deco on Greene,Brooklyn,Apartment,85,Entire home/apt,11217,3,1,21,185,85,,,,,,,,1
7414,04/02/2009,2,2009,Skylight on Greene,Brooklyn,Apartment,75,Entire home/apt,11217,3,1,6,150,76,,,,,,,,1
7498,06/02/2009,2,2009,Your own studio+patio no roommates,Manhattan,Apartment,80,Entire home/apt,10002,1,1,1,80,80,,,,,,,,1
7510,06/02/2009,2,2009,Big Lovely Chelsea Studio! Sleeps 5,Manhattan,Apartment,85,Entire home/apt,10010,1,1,8,190,89,,,,,,,,1
7510,06/02/2009,2,2009,Grande Super Large APT !!!,Manhattan,Apartment,80,Entire home/apt,10010,3,1,10,190,80,,,,,,,,1
7510,06/02/2009,2,2009,Great Apartment with PATIO!!,Manhattan,Apartment,80,Entire home/apt,10010,2,1,1,190,80,,,,,,,,1
7510,06/02/2009,2,2009,Super Large APT,Manhattan,Apartment,80,Entire home/apt,10010,2,1,29,175,80,,,,,,,,1
7510,06/02/2009,2,2009,HUGE and SUNNY one bedroom!,Manhattan,Apartment,90,Entire home/apt,10011,2,1,29,190,93,,,,,,,,1
7549,07/02/2009,2,2009,Cute & Cozy Lower East Side 1 bdrm,Manhattan,Apartment,90,Entire home/apt,10002,1,1,112,140,94,,,,,,,,1
7549,07/02/2009,2,2009,Cute,Cozy Lower East Side 1bdrm,Manhattan,Apartment,95,Entire home/apt,10002,1,1,4,140,95,,,,,,,1
7549,07/02/2009,2,2009,LowerEastSide apt share shortterm 2,Manhattan,Apartment,95,Private room,10002,1,1,25,75,97,,,,,,,,1
7549,07/02/2009,2,2009,LowerEastSide apt share shortterm 1,Manhattan,Apartment,95,Shared room,10002,1,1,132,45,95,,,,,,,,1
7549,07/02/2009,2,2009,LowerEastSide apt share shortterm 3,Manhattan,Apartment,95,Shared room,10002,1,1,17,45,95,,,,,,,,1
7611,09/02/2009,2,2009,Artist's Loft with indoor Hammock!,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,51,135,95,,,,,,,,1
7626,09/02/2009,2,2009,L.E.S. Must See!!,Manhattan,Apartment,85,Entire home/apt,10002,1,1,156,100,86,,,,,,,,1
7612,09/02/2009,2,2009,Cute Cozy Studio in Manhattan,Manhattan,Apartment,90,Entire home/apt,10023,1,1,29,145,91,,,,,,,,1
7702,10/02/2009,2,2009,Beautiful 1br on Upper West Side,Manhattan,Apartment,90,Entire home/apt,10025,1,1,30,135,94,,,,,,,,1
7740,11/02/2009,2,2009,Cozy Girly Studio, Upper West Side,Manhattan,Apartment,90,Entire home/apt,10024,1,1,98,200,94,,,,,,,1
7949,15/02/2009,2,2009,Creative Charm in Brooklyn,Brooklyn,Apartment,100,Private room,11238,1,1,4,65,100,,,,,,,,1
7999,16/02/2009,2,2009,Sunny Large 1 Bedroom w/ balconies!,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,1,165,100,,,,,,,,1
7987,16/02/2009,2,2009,Upper West Side-Unique One Bedroom,Manhattan,Apartment,90,Entire home/apt,10025,1,1,24,145,94,,,,,,,,1
7989,16/02/2009,2,2009,Central Manhattan/near Broadway,Manhattan,Apartment,95,Private room,10036,1,1,74,135,97,,,,,,,,1
8057,17/02/2009,2,2009,GREAT NEW LOWER EAST SIDE/ SOHO APT,Manhattan,Apartment,85,Entire home/apt,10002,2,1,20,225,89,,,,,,,,1
8057,17/02/2009,2,2009,HUGE 2 BEDROOM LOFT NOHO/EAST VILL.,Manhattan,Apartment,75,Entire home/apt,10003,3,1,32,250,78,,,,,,,,1
8057,17/02/2009,2,2009,Ideal Charming Large W Village Apt!,Manhattan,Apartment,85,Entire home/apt,10014,3,1,32,250,85,,,,,,,,1
8057,17/02/2009,2,2009,HUGE MODERN LUXURY-2bed/2bath+patio,Manhattan,Loft,100,Entire home/apt,10009,2,1,5,600,100,,,,,,,,1
8178,19/02/2009,2,2009,Location! Location! Location!,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,188,145,90,,,,,,,,1
8178,19/02/2009,2,2009,Sunny Beautiful Sublet All Yours!!!,Brooklyn,Apartment,90,Entire home/apt,11215,3,1,221,149,92,,,,,,,,1
8198,19/02/2009,2,2009,Park Slope haven 15 mins from Soho,Brooklyn,Apartment,90,Entire home/apt,11217,1,1,39,150,93,,,,,,,,1
8380,22/02/2009,2,2009,River view in the Village,Manhattan,Apartment,95,Entire home/apt,10014,1,1,57,200,98,,,,,,,,1
8440,23/02/2009,2,2009,Beautiful studio by Prospect Park,Brooklyn,Apartment,,Entire home/apt,11218,1,1,0,120,,,,,,,,,1
8440,23/02/2009,2,2009,Luxe 1BD apartment by Prospect Park,Brooklyn,Apartment,95,Entire home/apt,11218,1,1,4,150,95,,,,,,,,1
8425,23/02/2009,2,2009,Charming W.Village Apt. 8/25-9/15,Manhattan,Apartment,100,Entire home/apt,10014,1,1,1,175,100,,,,,,,,1
8605,25/02/2009,2,2009,Sunny 1BR East Harlem Apartment,Manhattan,Apartment,90,Entire home/apt,10035,2,1,11,109,91,,,,,,,,1
8730,27/02/2009,2,2009,Comfort & Convenience,Manhattan,Condominium,100,Entire home/apt,10003,6,1,4,1.990,100,,,,,,,,1
8703,27/02/2009,2,2009,Clean, Safe, Convenient, Comfy,Manhattan,Apartment,100,Shared room,10027,1,1,3,80,100,,,,,1
8967,03/03/2009,3,2009,Large Furnished Room Near B'way,Manhattan,Apartment,85,Private room,10019,1,1,242,73,85,,,,,,,,1
9744,10/03/2009,3,2009,Beautiful Apt, Garden #3 Best Area,Brooklyn,Apartment,95,Entire home/apt,11215,3,1,67,135,97,,,,,,,1
9744,10/03/2009,3,2009,Gorgeous house Room 2 BEST location,Brooklyn,House,95,Private room,11215,2,1,95,89,96,,,,,,,,1
9744,10/03/2009,3,2009,Gorgeous Room #1, Best Location,Brooklyn,House,90,Private room,11215,2,1,118,89,92,,,,,,,1
10176,14/03/2009,3,2009,Amazing Apt in WILLIAMSBURG, NY!!,Brooklyn,Apartment,95,Entire home/apt,11211,2,1,60,250,96,,,,,,,1
10151,14/03/2009,3,2009,Cozy Convenient Apt for Travelers,Queens,Apartment,,Entire home/apt,11358,1,1,0,99,,,,,,,,,1
10889,21/03/2009,3,2009,BnoB (2 br) — Heart of Williamsburg,Brooklyn,Apartment,90,Entire home/apt,11249,2,1,132,250,93,,,,,,,,1
10889,21/03/2009,3,2009,The Institute—Heart of Williamsburg,Brooklyn,Apartment,90,Entire home/apt,11249,2,1,136,250,94,,,,,,,,1
10889,21/03/2009,3,2009,Great house in Williamsburg,Brooklyn,House,95,Entire home/apt,11211,2,1,14,250,98,,,,,,,,1
11037,22/03/2009,3,2009,Large, Sunny, Central 2br, Terrace,Brooklyn,Apartment,100,Entire home/apt,11217,2,1,2,240,100,,,,,1
11358,25/03/2009,3,2009,Bright Clean Spacious 1BR,Brooklyn,Apartment,,Entire home/apt,11213,1,1,0,115,,,,,,,,,1
11358,25/03/2009,3,2009,Bright Clean Room in Bushwick,Brooklyn,Apartment,,Private room,11237,1,1,0,72,,,,,,,,,1
11481,26/03/2009,3,2009,House on 11th - Garden Level Apt.,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,119,165,91,,,,,,,,1
11481,26/03/2009,3,2009,Sunset Retreat - Charming Oasis,Brooklyn,Apartment,90,Entire home/apt,11220,1,1,79,90,90,,,,,,,,1
11481,26/03/2009,3,2009,Sunset Retreat - Top Floor Oasis,Brooklyn,Apartment,85,Entire home/apt,11220,1,1,21,105,88,,,,,,,,1
11481,26/03/2009,3,2009,House on Henry (2nd FLR Suite),Brooklyn,Apartment,85,Entire home/apt,11231,2,1,68,155,88,,,,,,,,1
11481,26/03/2009,3,2009,House on Henry (3rd FLR Suite),Brooklyn,Apartment,90,Entire home/apt,11231,2,1,106,160,94,,,,,,,,1
11810,30/03/2009,3,2009,NYC Historic District Posh Studio,Queens,Apartment,,Private room,11372,1,1,0,150,,,,,,,,,1
12169,03/04/2009,4,2009,Dream Come True, Too! Williamsburg,Brooklyn,Apartment,90,Private room,11211,1,1,43,89,94,,,,,,,1
12169,03/04/2009,4,2009,Dream Come True! Williamsburg, BK,Brooklyn,Apartment,90,Private room,11211,1,1,91,99,93,,,,,,,1
12221,04/04/2009,4,2009,5Minutes To Manhattan Cozy Oasis,Bronx,Apartment,80,Private room,10451,3,1,105,42,81,,,,,,,,1
12221,04/04/2009,4,2009,5Minutes To Manhattan Zen&Cozy,Bronx,Apartment,85,Private room,10451,3,1,96,42,87,,,,,,,,1
12220,04/04/2009,4,2009,Big Room in front of Central Park,Manhattan,Apartment,85,Private room,10025,1,1,74,132,88,,,,,,,,1
12220,04/04/2009,4,2009,Your Room in front of Central Park,Manhattan,Apartment,90,Private room,10025,1,1,141,117,90,,,,,,,,1
12712,08/04/2009,4,2009,Lovely Bklyn Apt with Private Deck,Brooklyn,Apartment,90,Entire home/apt,11205,1,1,5,135,92,,,,,,,,1
12712,08/04/2009,4,2009,Perfectly Situated LES 1-Bedroom,Manhattan,Apartment,90,Entire home/apt,10002,1,1,146,125,91,,,,,,,,1
12712,08/04/2009,4,2009,Real 2-Bedroom East Village Apt!,Manhattan,Apartment,85,Entire home/apt,10009,3,1,63,200,87,,,,,,,,1
12869,10/04/2009,4,2009,Luxury on a Budget,Manhattan,Apartment,90,Entire home/apt,10009,1,1,13,250,92,,,,,,,,1
13070,12/04/2009,4,2009,Spacious clean & quiet 2 bed/2bath,Manhattan,Bed & Breakfast,80,Entire home/apt,10128,2,1,58,295,83,,,,,,,,1
13424,14/04/2009,4,2009,An Oasis In Hell's Kitchen!,Manhattan,Apartment,100,Entire home/apt,10019,1,1,7,280,100,,,,,,,,1
13654,16/04/2009,4,2009,Room with a view in Central Harlem,Manhattan,Apartment,85,Private room,,1,1,11,75,85,,,,,,,,1
13908,18/04/2009,4,2009,2 BR Upper West Side Apt.,Manhattan,Apartment,65,Entire home/apt,10025,3,1,12,150,66,,,,,,,,1
14063,19/04/2009,4,2009,BK Heights Apartment for cat lovers,Brooklyn,Apartment,100,Entire home/apt,11201,3,1,4,125,100,,,,,,,,1
14204,20/04/2009,4,2009,Charming 2 Bedroom Red Hook Loft!,Brooklyn,Apartment,100,Entire home/apt,11231,2,1,18,230,100,,,,,,,,1
14204,20/04/2009,4,2009,Private room in Red Hook loft!,Brooklyn,Apartment,95,Private room,11231,1,1,21,110,98,,,,,,,,1
15192,28/04/2009,4,2009,Cozy Furnished 2 Bedroom Apartment,Brooklyn,Apartment,80,Entire home/apt,11216,3,1,8,159,84,,,,,,,,1
15154,28/04/2009,4,2009,Bright 1 Bedroom, Perfect Location!,Manhattan,Apartment,80,Entire home/apt,10023,1,1,2,160,80,,,,,,,1
15167,28/04/2009,4,2009,2 Bed 2 Bath Apt w/ balcony & WiFi,Manhattan,Apartment,95,Entire home/apt,10031,3,1,13,107,98,,,,,,,,1
15261,29/04/2009,4,2009,Cute room in hip Fort Greene,Brooklyn,Apartment,80,Private room,11205,1,1,1,50,80,,,,,,,,1
15523,01/05/2009,5,2009,Enjoy and discover New York Citi,Staten Island,House,95,Private room,10304,,1,7,69,97,,,,,,,,1
15742,04/05/2009,5,2009,Beautiful, private, uptown studio,Manhattan,Apartment,80,Entire home/apt,10031,1,1,20,110,83,,,,,,1
15964,06/05/2009,5,2009,Large Brooklyn Duplex, Park Slope,Brooklyn,Apartment,,Entire home/apt,11215,3,1,0,175,,,,,,,,1
16851,12/05/2009,5,2009,Hip Whole Apt in Wmsburg, Brooklyn,Brooklyn,Apartment,90,Entire home/apt,11211,1,1,8,125,93,,,,,,,1
16800,12/05/2009,5,2009,UES Beautiful Blue Room / Oak Room,Manhattan,Apartment,95,Private room,10029,2,1,150,95,96,,,,,,,,1
16800,12/05/2009,5,2009,UES Beautiful Home Red Velvet Room,Manhattan,Apartment,95,Private room,10029,2,1,41,95,95,,,,,,,,1
16883,13/05/2009,5,2009,Spacious Charming Loft Studio,Manhattan,Loft,90,Entire home/apt,10024,2,1,4,135,91,,,,,,,,1
17296,15/05/2009,5,2009,Bright studio in central Mahattan,Manhattan,Apartment,95,Entire home/apt,10016,1,1,5,100,96,,,,,,,,1
17571,17/05/2009,5,2009,Perfect for Grandparents + Garden,Brooklyn,House,95,Entire home/apt,11205,2,1,80,200,95,,,,,,,,1
17571,17/05/2009,5,2009,Perfect for Parents (Part 2),Brooklyn,House,95,Private room,11205,1,1,32,239,97,,,,,,,,1
17655,18/05/2009,5,2009,Modern LES Studio w/ Skyline Views,Manhattan,Apartment,95,Entire home/apt,10002,1,1,17,220,97,,,,,,,,1
17930,19/05/2009,5,2009,Charming 2 Bedroom by Prospect Park,Brooklyn,Apartment,100,Entire home/apt,11218,3,1,1,199,100,,,,,,,,1
17798,19/05/2009,5,2009,EAST VILLAGE DESIGNER LUXURY LOFT,Manhattan,Apartment,100,Entire home/apt,10009,3,1,4,399,100,,,,,,,,1
17985,20/05/2009,5,2009,Amazing Chinatown/SOHO one bed room,Manhattan,Apartment,85,Entire home/apt,10002,2,1,38,130,86,,,,,,,,1
18118,20/05/2009,5,2009,Giant & beautiful home in the sky.,Manhattan,Apartment,,Private room,10031,1,1,0,70,,,,,,,,,1
18229,21/05/2009,5,2009,Charming & Sunny Slope Duplex Loft,Brooklyn,Loft,,Entire home/apt,11215,2,1,0,110,,,,,,,,,1
18174,21/05/2009,5,2009,Cosy 2 bedroom in East Village,Manhattan,Apartment,90,Entire home/apt,10003,3,1,55,160,92,,,,,,,,1
18374,22/05/2009,5,2009,Bright & Modern Downtown Studio,Manhattan,Apartment,95,Entire home/apt,10003,1,1,89,135,96,,,,,,,,1
18611,24/05/2009,5,2009,East Village sunny & large 2 bdr,Manhattan,Apartment,95,Entire home/apt,10003,2,1,5,350,96,,,,,,,,1
18642,24/05/2009,5,2009,1 BDR with private toilet/sink,Manhattan,Apartment,,Private room,10031,1,1,0,60,,,,,,,,,1
18729,25/05/2009,5,2009,SPACIOUS, BEAUTIFUL CONDO IN BKLYN!,Brooklyn,Condominium,95,Entire home/apt,11215,2,1,9,375,98,,,,,,,1
19031,27/05/2009,5,2009,Charming Greenwich Village Apt,Manhattan,Apartment,80,Entire home/apt,10012,1,1,14,225,81,,,,,,,,1
19852,02/06/2009,6,2009,Lg Beautiful Garden Apt Sleeps 2,Manhattan,Apartment,95,Entire home/apt,10035,1,1,8,165,97,,,,,,,,1
19969,03/06/2009,6,2009,SoHo Loft - Entire Floor,Manhattan,Apartment,95,Entire home/apt,10013,1,1,52,585,96,,,,,,,,1
20149,04/06/2009,6,2009,Cool East Williamsburg Apartment,Brooklyn,Apartment,95,Private room,11206,1,1,46,40,96,,,,,,,,1
20805,09/06/2009,6,2009,Huge Brooklyn Room with Aussie Host,Brooklyn,Apartment,100,Private room,11225,1,1,12,85,100,,,,,,,,1
21286,12/06/2009,6,2009,UWS Garden Getaway,Manhattan,Apartment,95,Entire home/apt,10024,2,1,9,225,97,,,,,,,,1
21306,12/06/2009,6,2009,Large, Bright 1 bdr in Williamsburg,Brooklyn,Apartment,95,Private room,11222,1,1,11,110,96,,,,,,,1
21475,14/06/2009,6,2009,High-end doorman bldg in the LES,Manhattan,Apartment,95,Private room,10002,1,1,55,125,96,,,,,,,,1
21823,16/06/2009,6,2009,Soaring Bushwick 3 Bedroom,Brooklyn,Apartment,95,Entire home/apt,11221,5,1,9,275,98,,,,,,,,1
21904,16/06/2009,6,2009,Modern 1 BR / NYC / EAST VILLAGE,Manhattan,Apartment,90,Entire home/apt,10003,1,1,8,240,93,,,,,,,,1
22220,18/06/2009,6,2009,Modern brick 1 bedroom on UES,Manhattan,Apartment,90,Entire home/apt,10028,1,1,17,175,91,,,,,,,,1
22486,20/06/2009,6,2009,CBG Williamsburg  loft room,Brooklyn,Loft,75,Entire home/apt,11211,4,1,6,130,76,,,,,,,,1
22486,20/06/2009,6,2009,CBG Partner Prospect Pk Helps Haiti,Brooklyn,Apartment,,Private room,11225,1,1,0,90,,,,,,,,,1
22486,20/06/2009,6,2009,CBG CtyBeGoodHelpsHaiti#1:1-4,Brooklyn,House,90,Private room,11217,10,1,77,130,91,,,,,,,,1
22486,20/06/2009,6,2009,CommunityBeGood Helps Haiti Rm #2,Brooklyn,House,85,Private room,11217,1,1,39,130,89,,,,,,,,1
